pair,target,model,auc,ap,bce,positive_bce,negative_bce,calibrated_bce,balanced_accuracy,baseline,baseline_auc,test_best_single,cosine_auc
Ukraine + Facebook,twibot20,B,0.8690514285714287,0.6026166931128727,0.5667123457544473,0.3990684428305498,0.6002411263392268,0.30939796230221744,0.7925,A,0.9439454081632653,0.9439454081632653,0.8753297448979591
Ukraine + Facebook,twibot20,A→B,0.9201536734693878,0.7633818261152063,1.1153308860275544,0.1402309196385821,1.3103508793053487,0.2433347653283796,0.8444285714285714,A,0.9439454081632653,0.9439454081632653,0.909645306122449
Ukraine + Facebook,twibot20,B→A,0.9443782653061225,0.8173257007545516,0.22310429484374375,0.587343288855648,0.1502564960413629,0.20685776892795216,0.8767857142857143,A,0.9439454081632653,0.9439454081632653,0.9281908163265307
Ukraine + Facebook,twibot20,Interleaved,0.9316463265306122,0.7942727282003206,0.23395100672724495,0.698612180776628,0.14101877191736834,0.22524392586966965,0.8592857142857142,A,0.9439454081632653,0.9439454081632653,0.9194172959183674
Ukraine + Facebook,twibot20,Ensemble,0.9331083673469388,,0.23271149610680628,,,0.23271149610680628,0.8605,A,0.9439454081632653,,
Ukraine + Facebook,cp_hk_twitter,A,0.9745355102040816,0.9195447463197945,0.1618634973543537,0.8311959639314903,0.027997004038926403,0.13614747590509457,0.9182142857142856,A,0.9745355102040816,0.9745355102040816,0.9031113265306122
Ukraine + Facebook,cp_hk_twitter,B,0.886958163265306,0.7391440383501614,0.3398983908859442,0.5861244162877224,0.2906531858055886,0.26680235409634495,0.8134285714285714,A,0.9745355102040816,0.9745355102040816,0.8582308163265306
Ukraine + Facebook,cp_hk_twitter,A→B,0.9499177040816327,0.8650623888291105,0.3452583291724572,0.25019999954217514,0.3642699950985136,0.1836024930658732,0.8864285714285715,A,0.9745355102040816,0.9745355102040816,0.8804938265306121
Ukraine + Facebook,cp_hk_twitter,B→A,0.9738212244897958,0.9170319278482202,0.15522473183011856,0.762503789408373,0.03376892031446765,0.13795560621749364,0.9237857142857142,A,0.9745355102040816,0.9745355102040816,0.9095194387755102
Ukraine + Facebook,cp_hk_twitter,Interleaved,0.951674693877551,0.8639136487389389,0.20095576522728692,0.9738122731211479,0.04638446364851474,0.18252874341322,0.8907857142857143,A,0.9745355102040816,0.9745355102040816,0.9063844897959185
Ukraine + Facebook,cp_hk_twitter,Ensemble,0.9640143877551021,,0.17305552625028733,,,0.17305552625028733,0.9005714285714286,A,0.9745355102040816,,
COVID political + suspended,ukr_rus_twitter,A,0.8925727040816325,0.6834504695519209,0.3569570929763027,1.667360716913379,0.0948763681888874,0.2850110824820532,0.8297142857142857,B,0.9350313265306123,0.9350313265306123,0.8488733673469389
COVID political + suspended,ukr_rus_twitter,B,0.9350313265306123,0.8092259326864072,0.24826938556350278,1.2425859089593962,0.049406080884324036,0.21870968258549495,0.8674999999999999,B,0.9350313265306123,0.9350313265306123,0.9104088775510203
COVID political + suspended,ukr_rus_twitter,A→B,0.944426836734694,0.8274770600447166,0.23492342110260725,1.1800350897260419,0.04590108737792031,0.20512101439582126,0.8852142857142857,B,0.9350313265306123,0.9350313265306123,0.9028215306122449
COVID political + suspended,ukr_rus_twitter,B→A,0.9329389795918367,0.7791308820768572,0.2484163645288516,1.0890925165619203,0.08028113412223785,0.2291888128369407,0.8751428571428571,B,0.9350313265306123,0.9350313265306123,0.8898807653061224
COVID political + suspended,ukr_rus_twitter,Interleaved,0.9566369387755103,0.8515689332686254,0.19110729784574235,0.8147362840955611,0.0663815005957786,0.1843348366995751,0.8971428571428571,B,0.9350313265306123,0.9350313265306123,0.9242951020408164
COVID political + suspended,ukr_rus_twitter,Ensemble,0.9514321428571428,,0.21246749603000525,,,0.21246749603000525,0.8948571428571428,B,0.9350313265306123,,
