scope,seed,predictor,cells,mae,bias_observed_minus_prediction,pearson,target_demeaned_pearson,fraction_observed_above_prediction
target_in_pair,1,best_included,72,0.01960843150452787,-0.013391872032011434,0.906074460504259,0.3848351776295274,0.18055555555555555
target_in_pair,1,specialist_mean,72,0.04165553804272895,0.039166375675915494,0.8044632986185958,0.5736653243136207,0.875
target_in_pair,1,global_donor_selected,72,0.03737436951462798,0.028036590571376124,0.7749258767016005,0.10974172532151205,0.5972222222222222
target_in_pair,2,best_included,72,0.019025568951439833,-0.011037028730296173,0.896927350017359,0.4267867561776725,0.2638888888888889
target_in_pair,2,specialist_mean,72,0.04242887730647172,0.03963732840838259,0.7931284972066395,0.48555819660692956,0.875
target_in_pair,2,global_donor_selected,72,0.0347094175516417,0.02624690243605609,0.7951317480048977,0.16930574936692824,0.6388888888888888
target_held_out,all,best_included,756,0.01705263602065174,0.01065906925658302,0.9353192382008295,0.85967162344965,0.6349206349206349
target_held_out,all,specialist_mean,756,0.04504716678930955,0.04462329132317815,0.8934432792544786,0.7776416208779706,0.966931216931217
target_held_out,all,global_donor_selected,756,0.02036002515126178,0.014404343850586691,0.9022203921880999,0.8047530141717429,0.6534391534391535
target_held_out,0,best_included,252,0.016514949697666047,0.010182513125598308,0.9348332567105949,0.8535611152033358,0.623015873015873
target_held_out,0,specialist_mean,252,0.045458618389594474,0.04518494840831657,0.9014852976514142,0.7750867213408288,0.9682539682539683
target_held_out,0,global_donor_selected,252,0.02059741868978867,0.01467761679562181,0.8981943301613673,0.7994603474524857,0.6428571428571429
target_held_out,1,best_included,252,0.018308134505596912,0.012641660146764586,0.934218516505005,0.849929923836882,0.6666666666666666
target_held_out,1,specialist_mean,252,0.04587062358056906,0.04548770816134527,0.8932419367594208,0.7693905953517972,0.9682539682539683
target_held_out,1,global_donor_selected,252,0.021956233390707344,0.016820547524061414,0.8973757288042636,0.784159536489843,0.6904761904761905
target_held_out,2,best_included,252,0.01633482385869226,0.009153034497386163,0.9377615500833159,0.8746544785512651,0.6150793650793651
target_held_out,2,specialist_mean,252,0.043812258397765105,0.0431972173998726,0.8861459767083345,0.7879608610242043,0.9642857142857143
target_held_out,2,global_donor_selected,252,0.018526423373289323,0.011714867232076844,0.9129963158636835,0.8319475176568293,0.626984126984127
nonnested_target_held_out,all,best_included,693,0.016895405940623862,0.010290523873312541,0.937306901820926,0.8679363969491538,0.6291486291486291
nonnested_target_held_out,all,specialist_mean,693,0.04600935137295015,0.04563689036284778,0.9015004597846126,0.7881586390610444,0.974025974025974
nonnested_target_held_out,all,global_donor_selected,693,0.019892976859243395,0.013763596824282761,0.9074142282339258,0.8186800253506412,0.6493506493506493
nonnested_target_held_out,0,best_included,231,0.01649920605495626,0.010086141438390947,0.9347690385611437,0.8582245190400136,0.6190476190476191
nonnested_target_held_out,0,specialist_mean,231,0.04684627692177561,0.046649071002543945,0.907351530497932,0.7797879653632086,0.9783549783549783
nonnested_target_held_out,0,global_donor_selected,231,0.0204003474128337,0.014437429717614794,0.89913888779159,0.8064139653507569,0.6406926406926406
nonnested_target_held_out,1,best_included,231,0.018158070423143085,0.012275111573830454,0.9373234971393527,0.8603452211890041,0.6666666666666666
nonnested_target_held_out,1,specialist_mean,231,0.04663755875407994,0.04628559288595627,0.9019966774348971,0.7846519217779647,0.974025974025974
nonnested_target_held_out,1,global_donor_selected,231,0.021421193967394857,0.016117277109558303,0.90571157677133,0.8035723448425581,0.6926406926406926
nonnested_target_held_out,2,best_included,231,0.016028941343772245,0.008510318607716224,0.9407927712116295,0.8844326677636994,0.6017316017316018
nonnested_target_held_out,2,specialist_mean,231,0.04454421844299489,0.04397600720004311,0.8959788859783775,0.8000127758667429,0.9696969696969697
nonnested_target_held_out,2,global_donor_selected,231,0.017857389197501624,0.010736083645675182,0.9196774798696005,0.8483119547669022,0.6147186147186147
