seed,phase,comparison,baseline,target,delta_auc_pp
1,replication,fixed_vs_weight_one,kd_w100_fixed,midterm,0.2350714285714428
1,replication,fixed_vs_weight_one,kd_w100_fixed,twibot20,-0.011586734693880274
1,replication,fixed_vs_weight_one,kd_w100_fixed,ukr_rus_suspended,0.344969387755123
2,replication,selected_vs_stronger_singleton,singleton_ukraine,covid19_twitter,0.01726530612243815
2,replication,selected_vs_stronger_singleton,singleton_ukraine,covid_political,-1.5193112244898055
2,replication,selected_vs_stronger_singleton,singleton_ukraine,cp_hk_twitter,-0.17051530612244292
2,replication,selected_vs_stronger_singleton,singleton_ukraine,midterm,0.44983673469388696
2,replication,selected_vs_stronger_singleton,singleton_ukraine,twibot20,0.3515459183673464
2,replication,selected_vs_stronger_singleton,singleton_ukraine,ukr_rus_suspended,-0.4343979591836744
2,replication,selected_vs_ukraine_singleton,singleton_ukraine,covid19_twitter,0.01726530612243815
2,replication,selected_vs_ukraine_singleton,singleton_ukraine,covid_political,-1.5193112244898055
2,replication,selected_vs_ukraine_singleton,singleton_ukraine,cp_hk_twitter,-0.17051530612244292
2,replication,selected_vs_ukraine_singleton,singleton_ukraine,midterm,0.44983673469388696
2,replication,selected_vs_ukraine_singleton,singleton_ukraine,twibot20,0.3515459183673464
2,replication,selected_vs_ukraine_singleton,singleton_ukraine,ukr_rus_suspended,-0.4343979591836744
2,replication,selected_vs_facebook_singleton,singleton_facebook,covid19_twitter,5.228234693877553
2,replication,selected_vs_facebook_singleton,singleton_facebook,covid_political,8.270260204081637
2,replication,selected_vs_facebook_singleton,singleton_facebook,cp_hk_twitter,8.796698979591822
2,replication,selected_vs_facebook_singleton,singleton_facebook,midterm,11.266897959183686
2,replication,selected_vs_facebook_singleton,singleton_facebook,twibot20,8.055637755102051
2,replication,selected_vs_facebook_singleton,singleton_facebook,ukr_rus_suspended,6.13660204081633
2,replication,selected_vs_weight_one,kd_w100_selected,covid19_twitter,0.04790816326527558
2,replication,selected_vs_weight_one,kd_w100_selected,covid_political,-0.3985867346938621
2,replication,selected_vs_weight_one,kd_w100_selected,cp_hk_twitter,0.09794387755100997
2,replication,selected_vs_weight_one,kd_w100_selected,midterm,0.2327959183673678
2,replication,selected_vs_weight_one,kd_w100_selected,twibot20,0.21178061224492728
2,replication,selected_vs_weight_one,kd_w100_selected,ukr_rus_suspended,-0.05150510204079417
2,replication,fixed_vs_stronger_singleton,singleton_ukraine,covid19_twitter,-0.07651020408163678
2,replication,fixed_vs_stronger_singleton,singleton_ukraine,covid_political,-0.9136428571428823
2,replication,fixed_vs_stronger_singleton,singleton_ukraine,cp_hk_twitter,0.0021122448979782327
2,replication,fixed_vs_stronger_singleton,singleton_ukraine,midterm,0.34191836734696057
2,replication,fixed_vs_stronger_singleton,singleton_ukraine,twibot20,0.4285816326530578
2,replication,fixed_vs_stronger_singleton,singleton_ukraine,ukr_rus_suspended,-0.3053469387755192
2,replication,fixed_vs_ukraine_singleton,singleton_ukraine,covid19_twitter,-0.07651020408163678
2,replication,fixed_vs_ukraine_singleton,singleton_ukraine,covid_political,-0.9136428571428823
