source,group,k,model,task,dataset,shots,split,roc_auc,accuracy,f1,spearman,rmse,mae,r2,mse,run
mtr,single,1,CL,regression,ukr_rus_twitter,10,test,,,,-0.1412725567981254,5.4154840009662735,4.904922962188721,-4.766663074493408,29.32746696472168,eval_CL_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_05_21
mtr,single,1,CL,regression,ukr_rus_twitter,10,test,,,,-0.187293041033842,8.166681510237096,7.75007963180542,-9.567384719848633,66.69468688964844,eval_CL_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_05_21
mtp,pair,2,CLFP,regression,covid19_twitter,10,test,,,,0.1201820406100895,7.401137249137217,7.317537784576416,-43.413761138916016,54.776832580566406,eval_CLFP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_17_41
mtp,pair,2,CLFP,regression,covid19_twitter,10,test,,,,0.0301083250137496,5.4754924953291875,5.093768119812012,-6.4471821784973145,29.98101806640625,eval_CLFP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_13_53
mtp,pair,2,CLFP,regression,covid19_twitter,10,test,,,,0.0660275623446566,8.12450982595931,7.826818466186523,-12.778691291809082,66.00765991210938,eval_CLFP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_16_36
mtp,pair,2,CLFP,regression,midterm,10,test,,,,0.2345361825754613,7.388115551601003,7.277579307556152,-31.347064971923828,54.584251403808594,eval_CLFP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_10
mtp,pair,2,CLFP,regression,midterm,10,test,,,,0.1447736565370405,6.274551691705533,5.9093732833862305,-7.676412582397461,39.369998931884766,eval_CLFP_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_53
mtp,pair,2,CLFP,regression,midterm,10,test,,,,0.1005944919319939,9.529641337735589,9.335895538330078,-23.488693237304688,90.8140640258789,eval_CLFP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_53
mtp,pair,2,CLFP,regression,twibot20,10,test,,,,0.0656156394514022,7.695601993285678,7.60941743850708,-44.97972106933594,59.2222900390625,eval_CLFP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_13
mtp,pair,2,CLFP,regression,twibot20,10,test,,,,-0.0327996582110165,8.25097604237556,7.664813041687012,-6.413975238800049,68.07860565185547,eval_CLFP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_31_59
mtp,pair,2,CLFP,regression,twibot20,10,test,,,,0.1216418624767899,8.36745876296396,8.024564743041992,-11.24635887145996,70.01436614990234,eval_CLFP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_12
mtp,pair,2,CLFP,regression,ukr_rus_twitter,10,test,,,,0.1696449664864183,7.360325065566111,7.237201690673828,-28.505077362060547,54.17438507080078,eval_CLFP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_03_15
mtp,pair,2,CLFP,regression,ukr_rus_twitter,10,test,,,,0.1460616216553086,5.307143439212379,4.81353759765625,-4.538239002227783,28.165771484375,eval_CLFP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_01_10
mtp,pair,2,CLFP,regression,ukr_rus_twitter,10,test,,,,0.1510923001940733,8.061253177726783,7.668050765991211,-9.296304702758787,64.98380279541016,eval_CLFP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_01_26
mtr,single,1,FP,regression,covid19_twitter,10,test,,,,0.0587870205304034,7.231221312892131,7.1456217765808105,-41.39786148071289,52.29056167602539,eval_FP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_25_06
mtr,single,1,FP,regression,covid19_twitter,10,test,,,,0.2403044597747932,5.3252127734733445,4.939977645874023,-6.044003009796143,28.357891082763672,eval_FP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_23_32
mtr,single,1,FP,regression,covid19_twitter,10,test,,,,0.2305734240723633,7.961909930105177,7.658311367034912,-12.232691764831545,63.39200973510742,eval_FP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_24_47
mtr,single,1,FP,regression,midterm,10,test,,,,0.0479190344495852,7.243621124622016,7.127015113830566,-30.09417152404785,52.47004699707031,eval_FP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_47
mtr,single,1,FP,regression,midterm,10,test,,,,0.2846324259358063,6.144469787717079,5.770872592926025,-7.320389747619629,37.75450897216797,eval_FP_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_30
mtr,single,1,FP,regression,midterm,10,test,,,,0.2095701970505021,9.379758313934962,9.182087898254396,-22.724430084228516,87.97986602783203,eval_FP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_46
mtr,single,1,FP,regression,twibot20,10,test,,,,0.0577458708240555,7.546795641242951,7.461183071136475,-43.21873474121094,56.954124450683594,eval_FP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_42
mtr,single,1,FP,regression,twibot20,10,test,,,,0.1044008420333233,8.106635834652009,7.523114681243896,-6.156847953796387,65.71754455566406,eval_FP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_42
mtr,single,1,FP,regression,twibot20,10,test,,,,0.1515547373282284,8.228838512460927,7.876864433288574,-10.843958854675291,67.71378326416016,eval_FP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_42
mtr,single,1,FP,regression,ukr_rus_twitter,10,test,,,,0.073535848568862,7.199485008047695,7.071628093719482,-27.229658126831055,51.83258438110352,eval_FP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_07_26
mtr,single,1,FP,regression,ukr_rus_twitter,10,test,,,,0.2751051922219134,5.1718866169502276,4.665875434875488,-4.259543418884277,26.748411178588867,eval_FP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_05_30
mtr,single,1,FP,regression,ukr_rus_twitter,10,test,,,,0.2533736249539818,7.907792856809727,7.502818584442139,-8.908019065856934,62.53318786621094,eval_FP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_07_26
mtr,triple,3,MIX,regression,covid19_twitter,10,test,,,,0.0751893582111916,7.222926925447974,7.136369705200195,-41.30065155029297,52.17067337036133,eval_MIX_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_28_35
mtr,triple,3,MIX,regression,covid19_twitter,10,test,,,,0.160769121562751,5.331860795981971,4.950477123260498,-6.061601638793945,28.428739547729492,eval_MIX_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_25_26
mtr,triple,3,MIX,regression,covid19_twitter,10,test,,,,0.1202911651276057,7.949625200757551,7.647272109985352,-12.191888809204102,63.19654083251953,eval_MIX_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_27_43
mtr,triple,3,MIX,regression,midterm,10,test,,,,0.1530969053842165,7.1957750534174405,7.080020904541016,-29.684755325317383,51.779178619384766,eval_MIX_to_midterm_reg_10shot_account_age_days_14_07_2026_10_59_03
mtr,triple,3,MIX,regression,midterm,10,test,,,,0.2343854307267519,6.106245014731364,5.737428188323975,-7.217188835144043,37.28622817993164,eval_MIX_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_48
mtr,triple,3,MIX,regression,midterm,10,test,,,,0.1452252921984064,9.319176655039437,9.122258186340332,-22.418960571289062,86.84705352783203,eval_MIX_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_48
mtr,triple,3,MIX,regression,twibot20,10,test,,,,-0.0351714888655608,7.464907882949912,7.375756740570068,-42.26433181762695,55.724849700927734,eval_MIX_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_56
mtr,triple,3,MIX,regression,twibot20,10,test,,,,-0.1052999183562797,8.047293109586699,7.443381309509277,-6.0524516105651855,64.75892639160156,eval_MIX_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_41
mtr,triple,3,MIX,regression,twibot20,10,test,,,,0.022287231487519,8.151193973633603,7.793371200561523,-10.621502876281738,66.44196319580078,eval_MIX_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_56
mtr,triple,3,MIX,regression,ukr_rus_twitter,10,test,,,,0.0770303145788647,7.1966152606427976,7.0680694580078125,-27.20715713500977,51.7912712097168,eval_MIX_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_09_31
mtr,triple,3,MIX,regression,ukr_rus_twitter,10,test,,,,0.1789145789058676,5.184436858890582,4.684032440185547,-4.28510046005249,26.87838554382324,eval_MIX_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_07_26
mtr,triple,3,MIX,regression,ukr_rus_twitter,10,test,,,,0.1401209319693974,7.902268202416312,7.498951911926269,-8.894180297851562,62.44584274291992,eval_MIX_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_07_32
mtr,single,1,NM,regression,covid19_twitter,10,test,,,,0.0441006743718702,7.460839076166901,7.375691413879395,-44.133182525634766,55.664119720458984,eval_NM_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_19_57
mtr,single,1,NM,regression,covid19_twitter,10,test,,,,-0.0765577187841977,5.556185792567005,5.172481060028076,-6.668300628662109,30.87120056152344,eval_NM_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_17_40
mtr,single,1,NM,regression,covid19_twitter,10,test,,,,-0.0284865617339616,8.191415098200991,7.889354228973389,-13.006561279296877,67.09928131103516,eval_NM_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_17_41
mtr,single,1,NM,regression,midterm,10,test,,,,-0.0613197680135298,7.466696229376625,7.3472137451171875,-32.038818359375,55.75155258178711,eval_NM_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_12
mtr,single,1,NM,regression,midterm,10,test,,,,-0.0555391234799399,6.36659254793227,5.9928412437438965,-7.932826995849609,40.53350067138672,eval_NM_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_12
mtr,single,1,NM,regression,midterm,10,test,,,,-0.01571064600337,9.600422977030265,9.40208339691162,-23.85382652282715,92.16812133789062,eval_NM_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_12
mtr,single,1,NM,regression,twibot20,10,test,,,,0.0564712443760364,7.772332040978731,7.68785285949707,-45.90118408203125,60.40914535522461,eval_NM_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_27
mtr,single,1,NM,regression,twibot20,10,test,,,,0.1413113958353579,8.317230026133531,7.75342321395874,-6.533519744873047,69.17631530761719,eval_NM_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_13
mtr,single,1,NM,regression,twibot20,10,test,,,,0.0625903096219661,8.449133870354977,8.105243682861328,-11.486600875854492,71.38786315917969,eval_NM_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_14
mtr,single,1,NM,regression,ukr_rus_twitter,10,test,,,,-0.009068103198981,7.44086258471682,7.313297748565674,-29.154306411743164,55.36643600463867,eval_NM_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_03_29
mtr,single,1,NM,regression,ukr_rus_twitter,10,test,,,,-0.0466285761375753,5.407601248277833,4.908641815185547,-4.749887943267822,29.242151260375977,eval_NM_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_03_16
mtr,single,1,NM,regression,ukr_rus_twitter,10,test,,,,-0.0177589318125161,8.146453235450554,7.745946407318115,-9.51509952545166,66.36470031738281,eval_NM_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_03_16
mtp,pair,2,NMCL,regression,covid19_twitter,10,test,,,,-0.0556648793070703,7.4105281786768,7.32280683517456,-43.52653884887695,54.91592788696289,eval_NMCL_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_09_35
mtp,pair,2,NMCL,regression,covid19_twitter,10,test,,,,-0.1534741156215703,5.507114490621871,5.114455699920654,-6.533448696136475,30.328310012817383,eval_NMCL_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_09_31
mtp,pair,2,NMCL,regression,covid19_twitter,10,test,,,,-0.1096111300925261,8.143943417785382,7.83650016784668,-12.844687461853027,66.32381439208984,eval_NMCL_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_09_32
mtp,pair,2,NMCL,regression,midterm,10,test,,,,-0.042743096253106,7.410015710152512,7.292150974273682,-31.539119720458984,54.90833282470703,eval_NMCL_to_midterm_reg_10shot_account_age_days_14_07_2026_10_57_33
mtp,pair,2,NMCL,regression,midterm,10,test,,,,-0.1221607551242954,6.3151964528265445,5.9330220222473145,-7.789183616638184,39.88170623779297,eval_NMCL_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_33
mtp,pair,2,NMCL,regression,midterm,10,test,,,,-0.083515005599507,9.554456731422103,9.353433609008787,-23.616397857666016,91.2876434326172,eval_NMCL_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_33
mtp,pair,2,NMCL,regression,twibot20,10,test,,,,-0.1521600652048201,7.757697681756695,7.668428421020508,-45.724735260009766,60.1818733215332,eval_NMCL_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_31_07
mtp,pair,2,NMCL,regression,twibot20,10,test,,,,-0.3729549320331401,8.329335538046903,7.732110500335693,-6.555464744567871,69.3778305053711,eval_NMCL_to_twibot20_reg_10shot_followers_count_14_07_2026_11_28_35
mtp,pair,2,NMCL,regression,twibot20,10,test,,,,-0.2763357988184781,8.448246194893425,8.08558464050293,-11.48397731781006,71.37286376953125,eval_NMCL_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_28_51
mtp,pair,2,NMCL,regression,ukr_rus_twitter,10,test,,,,-0.0607557937887147,7.35523796023352,7.224306106567383,-28.464305877685547,54.09952545166016,eval_NMCL_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_10_59_06
mtp,pair,2,NMCL,regression,ukr_rus_twitter,10,test,,,,-0.148633085352792,5.332002632707088,4.81769323348999,-4.590244293212891,28.430252075195312,eval_NMCL_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_10_59_05
mtp,pair,2,NMCL,regression,ukr_rus_twitter,10,test,,,,-0.1495679760323161,8.069026227813163,7.656391143798828,-9.316171646118164,65.10918426513672,eval_NMCL_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_10_59_06
mtp,pair,2,NMFP,regression,covid19_twitter,10,test,,,,-0.0531240204019257,7.3207450095681645,7.23353385925293,-42.45414352416992,53.59330749511719,eval_NMFP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_13_53
mtp,pair,2,NMFP,regression,covid19_twitter,10,test,,,,0.0106953186552127,5.434455984169167,5.049939155578613,-6.335973739624023,29.53331184387207,eval_NMFP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_11_38
mtp,pair,2,NMFP,regression,covid19_twitter,10,test,,,,-0.0060369918201948,8.05258728529562,7.747943878173828,-12.535819053649902,64.84416198730469,eval_NMFP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_13_48
mtp,pair,2,NMFP,regression,midterm,10,test,,,,-0.2143089431703839,7.342338004216645,7.218226432800293,-30.94745635986328,53.90992736816406,eval_NMFP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_57_53
mtp,pair,2,NMFP,regression,midterm,10,test,,,,-0.1475420195533067,6.259995059660404,5.877204895019531,-7.636201858520508,39.187538146972656,eval_NMFP_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_33
mtp,pair,2,NMFP,regression,midterm,10,test,,,,-0.0961766243287364,9.46905819230806,9.265989303588867,-23.17831802368164,89.6630630493164,eval_NMFP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_52
mtp,pair,2,NMFP,regression,twibot20,10,test,,,,-0.1344685395738223,7.618618905971333,7.527365684509277,-44.06440353393555,58.04335403442383,eval_NMFP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_31_59
mtp,pair,2,NMFP,regression,twibot20,10,test,,,,-0.2060131138394681,8.193674336541621,7.597738742828369,-6.311354637145996,67.13629913330078,eval_NMFP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_31_59
mtp,pair,2,NMFP,regression,twibot20,10,test,,,,-0.2220257955146117,8.311981873390618,7.946187496185303,-11.084508895874023,69.08904266357422,eval_NMFP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_31_59
mtp,pair,2,NMFP,regression,ukr_rus_twitter,10,test,,,,-0.0519060590125298,7.303662298545258,7.173795700073242,-28.05254173278809,53.343482971191406,eval_NMFP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_01_10
mtp,pair,2,NMFP,regression,ukr_rus_twitter,10,test,,,,-0.0144837444960842,5.295514587526325,4.789467811584473,-4.513995170593262,28.0424747467041,eval_NMFP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_10_59_22
mtp,pair,2,NMFP,regression,ukr_rus_twitter,10,test,,,,-0.0440410236429641,8.013901077105507,7.606076240539551,-9.175698280334473,64.22261047363281,eval_NMFP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_01_09
