batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,4,73,28897,10,10,0.05263157894736842,True,True
0,4,74,30688,10,10,0.05263157894736842,True,True
0,4,75,34505,10,10,0.3333333333333333,True,True
0,4,76,35259,10,10,0.25,True,True
0,4,77,31487,59,59,0.08256880733944955,True,True
0,4,78,60995,0,0,1.0,False,False
0,4,79,9412,0,0,1.0,False,False
0,5,0,4334,0,0,1.0,False,False
0,5,1,62981,0,0,1.0,False,False
0,5,2,934,68,50,0.38823529411764707,True,True
0,5,3,66842,0,0,1.0,False,False
0,5,4,59978,9,10,0.11764705882352941,True,True
0,5,5,74026,0,0,1.0,False,False
0,5,6,34373,10,10,0.05263157894736842,True,True
0,5,7,42771,0,0,1.0,False,False
0,5,8,10264,0,0,1.0,False,False
0,5,9,75816,0,0,1.0,False,False
0,5,10,39173,40,40,0.06666666666666667,True,True
0,5,11,26796,10,10,0.05263157894736842,True,True
0,5,12,52526,0,0,1.0,False,False
0,5,13,12852,29,28,0.5,True,True
0,5,14,16487,94,92,0.06285714285714286,True,True
0,5,15,77104,20,18,0.15151515151515152,True,True
0,5,16,14243,10,10,0.05263157894736842,True,True
0,5,17,34285,0,0,1.0,False,False
0,5,18,3300,10,10,0.05263157894736842,True,True
0,5,19,9914,91,93,0.06358381502890173,True,True
0,5,20,39412,0,0,1.0,False,False
0,5,21,72470,10,10,0.05263157894736842,True,True
0,5,22,60115,0,0,1.0,False,False
0,5,23,4982,14,14,0.2727272727272727,True,True
0,5,24,78223,60,60,0.061946902654867256,True,True
0,5,25,23702,0,0,1.0,False,False
0,5,26,35973,20,20,0.08108108108108109,True,True
0,5,27,3424,50,54,0.2682926829268293,True,True
0,5,28,52148,10,10,0.05263157894736842,True,True
0,5,29,12502,0,0,1.0,False,False
0,5,30,13749,23,22,0.25,True,True
0,5,31,67376,20,20,0.08108108108108109,True,True
0,5,32,74180,60,60,0.061946902654867256,True,True
0,5,33,34881,0,0,1.0,False,False
0,5,34,9642,70,67,0.1322314049586777,True,True
0,5,35,54899,0,0,1.0,False,False
0,5,36,4068,0,0,1.0,False,False
0,5,37,71751,30,30,0.05263157894736842,True,True
0,5,38,7916,30,30,0.05263157894736842,True,True
0,5,39,17250,20,20,0.05263157894736842,True,True
0,5,40,42828,0,0,1.0,False,False
0,5,41,44234,0,0,1.0,False,False
0,5,42,42873,0,0,1.0,False,False
0,5,43,24396,0,0,1.0,False,False
0,5,44,76779,17,17,0.3076923076923077,True,True
0,5,45,8116,20,20,0.08108108108108109,True,True
0,5,46,40729,0,0,1.0,False,False
0,5,47,39247,30,30,0.05263157894736842,True,True
0,5,48,24695,0,0,1.0,False,False
