dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
covid19_twitter,nm_ladder_4src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.043627789968548415,5.161290653561479,-20.96310627356834,6000,23012850
covid19_twitter,nm_ladder_5src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.04201465039513121,36.998932210429764,-1127.6401889071199,6000,23012850
covid19_twitter,nm_ladder_6src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.03678786022143887,9.910932858690048,-79.9853004501527,6000,23012850
covid19_twitter,nm_ladder_7src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.03624470526183136,49.76325357175814,-2040.7128593547993,6000,23012850
covid19_twitter,merged_ukr_rus_covid_midterm_all8_nm_wb,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.021432798876407755,38.020865425211,-1190.8486959735121,6000,23012850
covid19_twitter,nm_ss_covid19_twitter,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.034725019692111316,49.644373653567925,-2030.9695759554154,6000,23012850
covid19_twitter,nm_ladder_ordB_r3,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.07160620063888985,11.062355534898552,-99.89562945745583,6000,23012850
covid19_twitter,nm_ladder_ordB_r4,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.036234703095388725,3.813945190507912,-10.992950049391656,6000,23012850
covid19_twitter,nm_ladder_ordB_r5,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.032501089546210976,7.890528034835317,-50.332127473540496,6000,23012850
covid19_twitter,nm_ladder_ordB_r6,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.048353562183875196,7.108810647254706,-40.66496510139624,6000,23012850
covid19_twitter,nm_ladder_ordB_r7,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.04966632483096268,9.39875726952727,-71.83128913347397,6000,23012850
covid19_twitter,nm_ss_election2020,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.012481159098605707,40.161604116778555,-1328.8395087056108,6000,23012850
covid19_twitter,nm_ladder_ordC_r2,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.023967678974986147,18.185910900154706,-271.67620914247107,6000,23012850
covid19_twitter,nm_ladder_ordC_r3,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.03568542213560255,18.636279108266827,-285.3489149746044,6000,23012850
covid19_twitter,nm_ladder_ordC_r4,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.007224480451683412,59.29239595392202,-2897.5121820373715,6000,23012850
covid19_twitter,nm_ladder_ordC_r5,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.02659889857625535,9.548136651971939,-74.16477842896056,6000,23012850
covid19_twitter,nm_ladder_ordC_r6,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.024450218404790825,5.067804617138042,-20.174679978147054,6000,23012850
covid19_twitter,nm_ladder_ordC_r7,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.04157520685508564,101.64208926984685,-8516.738377864709,6000,23012850
