dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
twibot20,nm_ladder_ordB_r5,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.12942749533771458,9.926354586811227,-80.12637837039219,6000,162988
twibot20,nm_ladder_ordB_r6,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.12074534250066946,29.476172027336805,-714.3600515895082,6000,162988
twibot20,nm_ladder_ordB_r7,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.1111856777213148,23.16515692888371,-440.82777328596046,6000,162988
twibot20,nm_ss_election2020,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.05705645252842744,98.60558803502724,-8004.446760322707,6000,162988
twibot20,nm_ladder_ordC_r2,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.05527427250412597,7.749384262816756,-48.44437730537314,6000,162988
twibot20,nm_ladder_ordC_r3,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.035764652739567075,28.69173133469339,-676.7913622986702,6000,162988
twibot20,nm_ladder_ordC_r4,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.058348939593974566,17.32551146225251,-246.1466039968571,6000,162988
twibot20,nm_ladder_ordC_r5,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.06758308983603918,18.916811406747605,-293.63096428642075,6000,162988
twibot20,nm_ladder_ordC_r6,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.11168340006919268,139.40134943711502,-15998.870759643756,6000,162988
twibot20,nm_ladder_ordC_r7,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.10559679489132856,6.82838770611073,-37.39006632578795,6000,162988
