order,final_heldout_target,series,source,entry_rung,rung,auc,value_origin
B,election2020,mixture,mixture,,3,0.8262687172413794,observed_same_source_set
B,election2020,mixture,mixture,,4,0.8226825218390805,observed_same_source_set
B,election2020,mixture,mixture,,5,0.8316414873563218,observed_same_source_set
B,election2020,mixture,mixture,,6,0.827781832183908,observed_same_source_set
B,election2020,mixture,mixture,,7,0.8400826022988507,observed_same_source_set
B,election2020,constituent,ukr_rus_twitter,1,1,0.8262,single_source_matrix
B,election2020,constituent,ukr_rus_twitter,1,2,0.8262,single_source_matrix
B,election2020,constituent,ukr_rus_twitter,1,3,0.8262,single_source_matrix
B,election2020,constituent,ukr_rus_twitter,1,4,0.8262,single_source_matrix
B,election2020,constituent,ukr_rus_twitter,1,5,0.8262,single_source_matrix
B,election2020,constituent,ukr_rus_twitter,1,6,0.8262,single_source_matrix
B,election2020,constituent,ukr_rus_twitter,1,7,0.8262,single_source_matrix
B,election2020,constituent,covid19_twitter,2,2,0.8345,single_source_matrix
B,election2020,constituent,covid19_twitter,2,3,0.8345,single_source_matrix
B,election2020,constituent,covid19_twitter,2,4,0.8345,single_source_matrix
B,election2020,constituent,covid19_twitter,2,5,0.8345,single_source_matrix
B,election2020,constituent,covid19_twitter,2,6,0.8345,single_source_matrix
B,election2020,constituent,covid19_twitter,2,7,0.8345,single_source_matrix
B,election2020,constituent,twibot20,3,3,0.8025,single_source_matrix
B,election2020,constituent,twibot20,3,4,0.8025,single_source_matrix
B,election2020,constituent,twibot20,3,5,0.8025,single_source_matrix
B,election2020,constituent,twibot20,3,6,0.8025,single_source_matrix
B,election2020,constituent,twibot20,3,7,0.8025,single_source_matrix
B,election2020,constituent,midterm,4,4,0.8047,single_source_matrix
B,election2020,constituent,midterm,4,5,0.8047,single_source_matrix
B,election2020,constituent,midterm,4,6,0.8047,single_source_matrix
B,election2020,constituent,midterm,4,7,0.8047,single_source_matrix
B,election2020,constituent,ukr_rus_suspended,5,5,0.7275,single_source_matrix
B,election2020,constituent,ukr_rus_suspended,5,6,0.7275,single_source_matrix
B,election2020,constituent,ukr_rus_suspended,5,7,0.7275,single_source_matrix
B,election2020,constituent,cp_hk_twitter,6,6,0.6412,single_source_matrix
B,election2020,constituent,cp_hk_twitter,6,7,0.6412,single_source_matrix
B,election2020,constituent,covid_political,7,7,0.7833,single_source_matrix
C,covid19_twitter,mixture,covid_political,1,1,0.6985,single_source_reconstruction
C,covid19_twitter,mixture,mixture,,2,0.7322287988825033,observed_same_source_set
C,covid19_twitter,mixture,mixture,,3,0.832790019476373,observed_same_source_set
C,covid19_twitter,mixture,mixture,,4,0.8927544834610472,observed_same_source_set
C,covid19_twitter,mixture,mixture,,5,0.9308379506226054,observed_same_source_set
C,covid19_twitter,mixture,mixture,,6,0.9559441030970623,observed_same_source_set
C,covid19_twitter,mixture,mixture,,7,0.968881610823755,observed_same_source_set
C,covid19_twitter,constituent,covid_political,1,1,0.6985,single_source_matrix
C,covid19_twitter,constituent,covid_political,1,2,0.6985,single_source_matrix
C,covid19_twitter,constituent,covid_political,1,3,0.6985,single_source_matrix
C,covid19_twitter,constituent,covid_political,1,4,0.6985,single_source_matrix
C,covid19_twitter,constituent,covid_political,1,5,0.6985,single_source_matrix
C,covid19_twitter,constituent,covid_political,1,6,0.6985,single_source_matrix
C,covid19_twitter,constituent,covid_political,1,7,0.6985,single_source_matrix
C,covid19_twitter,constituent,election2020,2,2,0.6551,single_source_matrix
C,covid19_twitter,constituent,election2020,2,3,0.6551,single_source_matrix
C,covid19_twitter,constituent,election2020,2,4,0.6551,single_source_matrix
C,covid19_twitter,constituent,election2020,2,5,0.6551,single_source_matrix
C,covid19_twitter,constituent,election2020,2,6,0.6551,single_source_matrix
C,covid19_twitter,constituent,election2020,2,7,0.6551,single_source_matrix
C,covid19_twitter,constituent,cp_hk_twitter,3,3,0.7579,single_source_matrix
C,covid19_twitter,constituent,cp_hk_twitter,3,4,0.7579,single_source_matrix
C,covid19_twitter,constituent,cp_hk_twitter,3,5,0.7579,single_source_matrix
C,covid19_twitter,constituent,cp_hk_twitter,3,6,0.7579,single_source_matrix
C,covid19_twitter,constituent,cp_hk_twitter,3,7,0.7579,single_source_matrix
C,covid19_twitter,constituent,ukr_rus_suspended,4,4,0.8307,single_source_matrix
C,covid19_twitter,constituent,ukr_rus_suspended,4,5,0.8307,single_source_matrix
C,covid19_twitter,constituent,ukr_rus_suspended,4,6,0.8307,single_source_matrix
C,covid19_twitter,constituent,ukr_rus_suspended,4,7,0.8307,single_source_matrix
C,covid19_twitter,constituent,midterm,5,5,0.879,single_source_matrix
C,covid19_twitter,constituent,midterm,5,6,0.879,single_source_matrix
C,covid19_twitter,constituent,midterm,5,7,0.879,single_source_matrix
C,covid19_twitter,constituent,twibot20,6,6,0.9473,single_source_matrix
C,covid19_twitter,constituent,twibot20,6,7,0.9473,single_source_matrix
C,covid19_twitter,constituent,ukr_rus_twitter,7,7,0.973,single_source_matrix
