entry_rung,target,order,rung,added,sources,mixture_auc,best_constituent,best_constituent_auc,mixture_minus_best_constituent_auc
6,twibot20,C,5,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,0.8906968706577267,midterm,0.8613,0.02939687065772678
5,election2020,A,1,ukr_rus,ukr_rus,0.828,ukr_rus_twitter,0.8262,0.0
5,election2020,A,2,covid,ukr_rus covid,0.828,covid19_twitter,0.8345,-0.006500000000000061
5,election2020,A,3,midterm,ukr_rus covid midterm,0.815,covid19_twitter,0.8345,-0.019500000000000073
5,election2020,A,4,covid_political,ukr_rus covid midterm covid_political,0.8297,covid19_twitter,0.8345,-0.0048000000000000265
5,ukr_rus_suspended,B,1,covid,covid,0.7861,covid19_twitter,0.7861,0.0
5,ukr_rus_suspended,B,2,ukr_rus,covid ukr_rus,0.775,ukr_rus_twitter,0.7894,-0.014399999999999968
5,ukr_rus_suspended,B,3,twibot20,covid ukr_rus twibot20,0.7623589471264366,ukr_rus_twitter,0.7894,-0.027041052873563398
5,ukr_rus_suspended,B,4,midterm,covid ukr_rus twibot20 midterm,0.7756944183908047,ukr_rus_twitter,0.7894,-0.013705581609195328
5,midterm,C,1,election2020,election2020,0.6804,election2020,0.6804,0.0
5,midterm,C,2,covid_political,election2020 covid_political,0.7521999042943807,covid_political,0.6878,0.0643999042943807
5,midterm,C,3,cp_hk,election2020 covid_political cp_hk,0.8069119819604087,cp_hk_twitter,0.7629,0.044011981960408675
5,midterm,C,4,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,0.8213368669859517,cp_hk_twitter,0.7629,0.05843686698595163
4,covid_political,A,1,ukr_rus,ukr_rus,0.849,ukr_rus_twitter,0.8394,0.0
4,covid_political,A,2,covid,ukr_rus covid,0.843,covid19_twitter,0.8498,-0.006800000000000028
4,covid_political,A,3,midterm,ukr_rus covid midterm,0.83,covid19_twitter,0.8498,-0.01980000000000004
4,midterm,B,1,covid,covid,0.8842,covid19_twitter,0.8842,0.0
4,midterm,B,2,ukr_rus,covid ukr_rus,0.885,covid19_twitter,0.8842,0.0008000000000000229
4,midterm,B,3,twibot20,covid ukr_rus twibot20,0.8828455995530013,covid19_twitter,0.8842,-0.0013544004469986382
4,ukr_rus_suspended,C,1,election2020,election2020,0.5627,election2020,0.5627,0.0
4,ukr_rus_suspended,C,2,covid_political,election2020 covid_political,0.579886075862069,election2020,0.5627,0.017186075862068995
4,ukr_rus_suspended,C,3,cp_hk,election2020 covid_political cp_hk,0.6518217747126436,cp_hk_twitter,0.6025,0.04932177471264354
3,midterm,A,1,ukr_rus,ukr_rus,0.874,ukr_rus_twitter,0.8811,0.0
3,midterm,A,2,covid,ukr_rus covid,0.885,covid19_twitter,0.8842,0.0008000000000000229
3,twibot20,B,1,covid,covid,0.9258,covid19_twitter,0.9258,0.0
3,twibot20,B,2,ukr_rus,covid ukr_rus,0.925,covid19_twitter,0.9258,-0.0007999999999999119
3,cp_hk_twitter,C,1,election2020,election2020,0.5475,election2020,0.5475,0.0
3,cp_hk_twitter,C,2,covid_political,election2020 covid_political,0.5653788771551724,election2020,0.5475,0.017878877155172446
2,covid19_twitter,A,1,ukr_rus,ukr_rus,0.973,ukr_rus_twitter,0.973,0.0
2,ukr_rus_twitter,B,1,covid,covid,0.9264,covid19_twitter,0.9264,0.0
2,covid_political,C,1,election2020,election2020,0.7872,election2020,0.7872,0.0
