order,rung,added,target,target_entry_rung,mixture_auc,best_constituent,best_constituent_auc,mixture_minus_best_constituent_auc
A,4,covid_political,cp_hk_twitter,8,0.7235,covid19_twitter,0.7196,0.0039000000000000146
A,5,election2020,ukr_rus_suspended,6,0.7693,ukr_rus_twitter,0.7894,-0.020100000000000007
A,5,election2020,twibot20,7,0.9254,covid19_twitter,0.9258,-0.00039999999999995595
A,5,election2020,cp_hk_twitter,8,0.7261,covid19_twitter,0.7196,0.00649999999999995
A,6,ukr_rus_suspended,twibot20,7,0.9242,covid19_twitter,0.9258,-0.0015999999999999348
A,6,ukr_rus_suspended,cp_hk_twitter,8,0.7239,covid19_twitter,0.7196,0.0042999999999999705
A,7,twibot20,cp_hk_twitter,8,0.7267,covid19_twitter,0.7196,0.007099999999999995
B,1,covid,ukr_rus_twitter,2,0.9264,covid19_twitter,0.9264,0.0
B,1,covid,midterm,4,0.8842,covid19_twitter,0.8842,0.0
B,1,covid,covid_political,7,0.8498,covid19_twitter,0.8498,0.0
B,1,covid,election2020,8,0.8345,covid19_twitter,0.8345,0.0
B,1,covid,ukr_rus_suspended,5,0.7861,covid19_twitter,0.7861,0.0
B,1,covid,twibot20,3,0.9258,covid19_twitter,0.9258,0.0
B,1,covid,cp_hk_twitter,6,0.7196,covid19_twitter,0.7196,0.0
B,2,ukr_rus,midterm,4,0.885,covid19_twitter,0.8842,0.0008000000000000229
B,2,ukr_rus,covid_political,7,0.843,covid19_twitter,0.8498,-0.006800000000000028
B,2,ukr_rus,election2020,8,0.828,covid19_twitter,0.8345,-0.006500000000000061
B,2,ukr_rus,ukr_rus_suspended,5,0.775,ukr_rus_twitter,0.7894,-0.014399999999999968
B,2,ukr_rus,twibot20,3,0.925,covid19_twitter,0.9258,-0.0007999999999999119
B,2,ukr_rus,cp_hk_twitter,6,0.726,covid19_twitter,0.7196,0.006399999999999961
B,3,twibot20,midterm,4,0.8828455995530013,covid19_twitter,0.8842,-0.0013544004469986382
B,3,twibot20,covid_political,7,0.8481246410600255,covid19_twitter,0.8498,-0.0016753589399745028
B,3,twibot20,election2020,8,0.8262687172413794,covid19_twitter,0.8345,-0.008231282758620617
B,3,twibot20,ukr_rus_suspended,5,0.7623589471264366,ukr_rus_twitter,0.7894,-0.027041052873563398
B,3,twibot20,cp_hk_twitter,6,0.7316832084770114,covid19_twitter,0.7196,0.012083208477011387
B,4,midterm,covid_political,7,0.8419349837324395,covid19_twitter,0.8498,-0.007865016267560532
B,4,midterm,election2020,8,0.8226825218390805,covid19_twitter,0.8345,-0.011817478160919492
B,4,midterm,ukr_rus_suspended,5,0.7756944183908047,ukr_rus_twitter,0.7894,-0.013705581609195328
B,4,midterm,cp_hk_twitter,6,0.720369180172414,covid19_twitter,0.7196,0.0007691801724140079
B,5,ukr_rus_suspended,covid_political,7,0.8518825089559386,covid19_twitter,0.8498,0.0020825089559386445
B,5,ukr_rus_suspended,election2020,8,0.8316414873563218,covid19_twitter,0.8345,-0.0028585126436782016
B,5,ukr_rus_suspended,cp_hk_twitter,6,0.7183858511494251,covid19_twitter,0.7196,-0.0012141488505749143
B,6,cp_hk,covid_political,7,0.8455864786079182,covid19_twitter,0.8498,-0.004213521392081754
B,6,cp_hk,election2020,8,0.827781832183908,covid19_twitter,0.8345,-0.006718167816092024
B,7,covid_political,election2020,8,0.8400826022988507,covid19_twitter,0.8345,0.0055826022988506585
C,1,election2020,ukr_rus_twitter,7,0.6018,election2020,0.6018,0.0
C,1,election2020,covid19_twitter,8,0.6551,election2020,0.6551,0.0
C,1,election2020,midterm,5,0.6804,election2020,0.6804,0.0
C,1,election2020,covid_political,2,0.7872,election2020,0.7872,0.0
C,1,election2020,ukr_rus_suspended,4,0.5627,election2020,0.5627,0.0
C,1,election2020,twibot20,6,0.7096,election2020,0.7096,0.0
C,1,election2020,cp_hk_twitter,3,0.5475,election2020,0.5475,0.0
C,2,covid_political,ukr_rus_twitter,7,0.6479949551245211,covid_political,0.6301,0.017894955124521106
C,2,covid_political,covid19_twitter,8,0.7322287988825033,covid_political,0.6985,0.03372879888250324
C,2,covid_political,midterm,5,0.7521999042943807,covid_political,0.6878,0.0643999042943807
C,2,covid_political,ukr_rus_suspended,4,0.579886075862069,election2020,0.5627,0.017186075862068995
C,2,covid_political,twibot20,6,0.7747346551564493,covid_political,0.7374,0.03733465515644929
C,2,covid_political,cp_hk_twitter,3,0.5653788771551724,election2020,0.5475,0.017878877155172446
C,3,cp_hk,ukr_rus_twitter,7,0.7467859874361431,cp_hk_twitter,0.6808,0.06598598743614315
C,3,cp_hk,covid19_twitter,8,0.832790019476373,cp_hk_twitter,0.7579,0.07489001947637297
C,3,cp_hk,midterm,5,0.8069119819604087,cp_hk_twitter,0.7629,0.044011981960408675
C,3,cp_hk,ukr_rus_suspended,4,0.6518217747126436,cp_hk_twitter,0.6025,0.04932177471264354
C,3,cp_hk,twibot20,6,0.8181850680555556,cp_hk_twitter,0.7378,0.08038506805555556
C,4,ukr_rus_suspended,ukr_rus_twitter,7,0.8250104927522349,ukr_rus_suspended,0.7695,0.05551049275223496
C,4,ukr_rus_suspended,covid19_twitter,8,0.8927544834610472,ukr_rus_suspended,0.8307,0.06205448346104725
C,4,ukr_rus_suspended,midterm,5,0.8213368669859517,cp_hk_twitter,0.7629,0.05843686698595163
C,4,ukr_rus_suspended,twibot20,6,0.8540511916028097,ukr_rus_suspended,0.7647,0.08935119160280969
C,5,midterm,ukr_rus_twitter,7,0.8651577229885058,midterm,0.797,0.06815772298850575
C,5,midterm,covid19_twitter,8,0.9308379506226054,midterm,0.879,0.05183795062260543
C,5,midterm,twibot20,6,0.8906968706577267,midterm,0.8613,0.02939687065772678
C,6,twibot20,ukr_rus_twitter,7,0.8894939903256703,twibot20,0.8688,0.02069399032567032
C,6,twibot20,covid19_twitter,8,0.9559441030970623,twibot20,0.9473,0.008644103097062317
C,7,ukr_rus,covid19_twitter,8,0.968881610823755,ukr_rus_twitter,0.973,-0.004118389176244963
