source,target,scaled_cosine_error_mean,masked_mse_mean,cosine_error_mean,checkpoint_step,n_nodes
ukr_rus_suspended,ukr_rus_suspended,0.018312308937311172,0.021769444830715655,0.13012567311525344,18000,6624
ukr_rus_suspended,twibot20,0.021699978969991207,0.021818392165005206,0.14165198802947998,18000,21641
ukr_rus_suspended,cp_hk_twitter,0.025642603635787964,0.020856593176722525,0.1548287898302078,18000,38520
ukr_rus_suspended,facebook_page_reference,0.03241524808108807,0.020210270397365095,0.17352891862392425,18000,22427
twibot20,ukr_rus_twitter,0.021496539004147053,0.2560415655374527,0.1411132723093033,40000,75000
twibot20,covid19_twitter,0.022125809267163277,0.2565156489610672,0.1431244730949402,40000,75000
twibot20,midterm,0.01827307939529419,0.2624163806438446,0.12948600202798843,40000,41154
twibot20,covid_political,0.01416605394333601,0.27383522093296053,0.11419439986348152,40000,11801
twibot20,election2020,0.01507352888584137,0.2702006459236145,0.11840695142745972,40000,11840
twibot20,ukr_rus_suspended,0.0208643838763237,0.2565988957881927,0.13907673507928847,40000,6624
twibot20,twibot20,0.01793009601533413,0.2656752586364746,0.12834518849849702,40000,21641
twibot20,cp_hk_twitter,0.02545286137610674,0.24435621052980422,0.15450123846530914,40000,38520
twibot20,facebook_page_reference,0.02883172258734703,0.24172877073287963,0.1638528287410736,40000,22427
cp_hk_twitter,ukr_rus_twitter,0.02292811404913664,0.029356206580996514,0.14717406481504441,20000,75000
cp_hk_twitter,covid19_twitter,0.023570117168128492,0.02934372182935476,0.14913189858198167,20000,75000
cp_hk_twitter,midterm,0.019409539923071862,0.03026289939880371,0.1352462500333786,20000,41154
cp_hk_twitter,covid_political,0.01813278067857027,0.030769795179367065,0.13078915774822236,20000,11801
cp_hk_twitter,election2020,0.01846622359007597,0.030409386940300466,0.1325167179107666,20000,11840
cp_hk_twitter,ukr_rus_suspended,0.021786931715905667,0.029433624632656575,0.14348116815090178,20000,6624
cp_hk_twitter,twibot20,0.02279996294528246,0.029891364835202695,0.14651024490594863,20000,21641
cp_hk_twitter,cp_hk_twitter,0.02016663420945406,0.0310452489182353,0.13694669902324677,20000,38520
cp_hk_twitter,facebook_page_reference,0.03535964526236057,0.028841207176446913,0.1824997216463089,20000,22427
facebook_page_reference,ukr_rus_twitter,0.027216029912233354,0.08789801001548767,0.15998679101467134,28000,75000
facebook_page_reference,covid19_twitter,0.028457833640277385,0.0879249967634678,0.16369413137435912,28000,75000
facebook_page_reference,midterm,0.02494750376790762,0.08879949897527695,0.15326425433158875,28000,41154
facebook_page_reference,covid_political,0.020997341349720956,0.09187975153326988,0.14128639847040175,28000,11801
facebook_page_reference,election2020,0.02211943231523037,0.08831037729978561,0.14556832015514373,28000,11840
facebook_page_reference,ukr_rus_suspended,0.025241066701710224,0.08838762417435646,0.15405927151441573,28000,6624
facebook_page_reference,twibot20,0.02436710223555565,0.0898649238049984,0.1516266494989395,28000,21641
facebook_page_reference,cp_hk_twitter,0.032057378068566324,0.08437431380152702,0.17423953264951705,28000,38520
facebook_page_reference,facebook_page_reference,0.020977511815726758,0.09348237439990044,0.13875769078731537,28000,22427
