source,model,task,dataset,target,metric,value,shots,run
covid19_twitter,nm_ss_covid19_twitter,classification,ukr_rus_suspended,,roc_auc,0.49838000000000005,10,eval_nm_ss_covid19_twitter_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_22
covid19_twitter,nm_ss_covid19_twitter,regression,covid19_twitter,account_age_days,spearman,-0.08931623330020758,10,eval_nm_ss_covid19_twitter_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_16_30
covid19_twitter,nm_ss_covid19_twitter,regression,covid19_twitter,followers_count,spearman,-0.07322617138883167,10,eval_nm_ss_covid19_twitter_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_13_45
covid19_twitter,nm_ss_covid19_twitter,regression,covid19_twitter,statuses_count,spearman,-0.05150310415050203,10,eval_nm_ss_covid19_twitter_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_16_26
covid19_twitter,nm_ss_covid19_twitter,regression,midterm,account_age_days,spearman,-0.11459951468859558,10,eval_nm_ss_covid19_twitter_to_midterm_reg_10shot_account_age_days_30_07_2026_02_34_29
covid19_twitter,nm_ss_covid19_twitter,regression,midterm,followers_count,spearman,-0.16322902789823257,10,eval_nm_ss_covid19_twitter_to_midterm_reg_10shot_followers_count_30_07_2026_02_34_29
covid19_twitter,nm_ss_covid19_twitter,regression,midterm,statuses_count,spearman,-0.08539077500229292,10,eval_nm_ss_covid19_twitter_to_midterm_reg_10shot_statuses_count_30_07_2026_02_34_29
covid19_twitter,nm_ss_covid19_twitter,regression,twibot20,account_age_days,spearman,-0.06259060595548982,10,eval_nm_ss_covid19_twitter_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_35_52
covid19_twitter,nm_ss_covid19_twitter,regression,twibot20,followers_count,spearman,-0.17483406279999245,10,eval_nm_ss_covid19_twitter_to_twibot20_reg_10shot_followers_count_30_07_2026_02_35_47
covid19_twitter,nm_ss_covid19_twitter,regression,twibot20,statuses_count,spearman,-0.1251781478979141,10,eval_nm_ss_covid19_twitter_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_35_50
covid19_twitter,nm_ss_covid19_twitter,regression,ukr_rus_twitter,account_age_days,spearman,-0.12273892464136257,10,eval_nm_ss_covid19_twitter_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_05_09
covid19_twitter,nm_ss_covid19_twitter,regression,ukr_rus_twitter,followers_count,spearman,-0.07797555681449266,10,eval_nm_ss_covid19_twitter_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_03_23
covid19_twitter,nm_ss_covid19_twitter,regression,ukr_rus_twitter,statuses_count,spearman,-0.046739439258326874,10,eval_nm_ss_covid19_twitter_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_04_56
midterm,nm_ss_midterm,classification,covid_political,,roc_auc,0.8205045555555557,10,eval_nm_ss_midterm_to_covid_political_pl_10shot_30_07_2026_02_37_32
midterm,nm_ss_midterm,classification,election2020,,roc_auc,0.976084,10,eval_nm_ss_midterm_to_election2020_pl_10shot_30_07_2026_02_37_58
midterm,nm_ss_midterm,classification,twibot20,,roc_auc,0.5252394861111112,10,eval_nm_ss_midterm_to_twibot20_pl_10shot_30_07_2026_02_38_49
midterm,nm_ss_midterm,classification,ukr_rus_suspended,,roc_auc,0.497854,10,eval_nm_ss_midterm_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_25
midterm,nm_ss_midterm,regression,covid19_twitter,account_age_days,spearman,-0.08642671074727938,10,eval_nm_ss_midterm_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_20_00
midterm,nm_ss_midterm,regression,covid19_twitter,followers_count,spearman,0.07784682714011006,10,eval_nm_ss_midterm_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_17_03
midterm,nm_ss_midterm,regression,covid19_twitter,statuses_count,spearman,0.06047278959410802,10,eval_nm_ss_midterm_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_17_13
midterm,nm_ss_midterm,regression,midterm,account_age_days,spearman,-0.1734015385669936,10,eval_nm_ss_midterm_to_midterm_reg_10shot_account_age_days_30_07_2026_02_34_43
midterm,nm_ss_midterm,regression,midterm,followers_count,spearman,0.03032402842640267,10,eval_nm_ss_midterm_to_midterm_reg_10shot_followers_count_30_07_2026_02_34_29
midterm,nm_ss_midterm,regression,midterm,statuses_count,spearman,0.00496124809543101,10,eval_nm_ss_midterm_to_midterm_reg_10shot_statuses_count_30_07_2026_02_34_41
midterm,nm_ss_midterm,regression,twibot20,account_age_days,spearman,-0.007129750448738878,10,eval_nm_ss_midterm_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_36_03
midterm,nm_ss_midterm,regression,twibot20,followers_count,spearman,0.05728539434356805,10,eval_nm_ss_midterm_to_twibot20_reg_10shot_followers_count_30_07_2026_02_35_52
midterm,nm_ss_midterm,regression,twibot20,statuses_count,spearman,-0.015967644731668326,10,eval_nm_ss_midterm_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_35_59
midterm,nm_ss_midterm,regression,ukr_rus_twitter,account_age_days,spearman,-0.10323183689766031,10,eval_nm_ss_midterm_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_06_41
midterm,nm_ss_midterm,regression,ukr_rus_twitter,followers_count,spearman,0.007718343361155624,10,eval_nm_ss_midterm_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_05_12
midterm,nm_ss_midterm,regression,ukr_rus_twitter,statuses_count,spearman,0.02305581081879508,10,eval_nm_ss_midterm_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_05_12
covid_political,nm_ss_covid_political,classification,covid_political,,roc_auc,0.9211452083333334,10,eval_nm_ss_covid_political_to_covid_political_pl_10shot_30_07_2026_02_37_32
covid_political,nm_ss_covid_political,classification,election2020,,roc_auc,0.980246,10,eval_nm_ss_covid_political_to_election2020_pl_10shot_30_07_2026_02_37_58
covid_political,nm_ss_covid_political,classification,twibot20,,roc_auc,0.5227526805555556,10,eval_nm_ss_covid_political_to_twibot20_pl_10shot_30_07_2026_02_38_49
covid_political,nm_ss_covid_political,classification,ukr_rus_suspended,,roc_auc,0.489162,10,eval_nm_ss_covid_political_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_25
covid_political,nm_ss_covid_political,regression,covid19_twitter,account_age_days,spearman,0.0015895619333083138,10,eval_nm_ss_covid_political_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_20_46
covid_political,nm_ss_covid_political,regression,covid19_twitter,followers_count,spearman,-0.025729233451936916,10,eval_nm_ss_covid_political_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_20_10
covid_political,nm_ss_covid_political,regression,covid19_twitter,statuses_count,spearman,-0.0094407749711868,10,eval_nm_ss_covid_political_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_20_27
covid_political,nm_ss_covid_political,regression,midterm,account_age_days,spearman,-0.03572061783551973,10,eval_nm_ss_covid_political_to_midterm_reg_10shot_account_age_days_30_07_2026_02_34_54
covid_political,nm_ss_covid_political,regression,midterm,followers_count,spearman,-0.059427512539913366,10,eval_nm_ss_covid_political_to_midterm_reg_10shot_followers_count_30_07_2026_02_34_43
covid_political,nm_ss_covid_political,regression,midterm,statuses_count,spearman,-0.046686566561069634,10,eval_nm_ss_covid_political_to_midterm_reg_10shot_statuses_count_30_07_2026_02_34_43
covid_political,nm_ss_covid_political,regression,twibot20,account_age_days,spearman,0.020424543061808704,10,eval_nm_ss_covid_political_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_36_12
covid_political,nm_ss_covid_political,regression,twibot20,followers_count,spearman,-0.021389597769306188,10,eval_nm_ss_covid_political_to_twibot20_reg_10shot_followers_count_30_07_2026_02_36_06
covid_political,nm_ss_covid_political,regression,twibot20,statuses_count,spearman,-0.03403673686233588,10,eval_nm_ss_covid_political_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_36_05
covid_political,nm_ss_covid_political,regression,ukr_rus_twitter,account_age_days,spearman,-0.0030736274752065935,10,eval_nm_ss_covid_political_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_07_10
covid_political,nm_ss_covid_political,regression,ukr_rus_twitter,followers_count,spearman,0.002004396339558714,10,eval_nm_ss_covid_political_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_06_43
covid_political,nm_ss_covid_political,regression,ukr_rus_twitter,statuses_count,spearman,-0.0028053967069760987,10,eval_nm_ss_covid_political_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_07_10
election2020,nm_ss_election2020,classification,covid_political,,roc_auc,0.8799622777777778,10,eval_nm_ss_election2020_to_covid_political_pl_10shot_30_07_2026_02_37_45
election2020,nm_ss_election2020,classification,election2020,,roc_auc,0.984972,10,eval_nm_ss_election2020_to_election2020_pl_10shot_30_07_2026_02_38_09
election2020,nm_ss_election2020,classification,twibot20,,roc_auc,0.521764625,10,eval_nm_ss_election2020_to_twibot20_pl_10shot_30_07_2026_02_39_01
election2020,nm_ss_election2020,classification,ukr_rus_suspended,,roc_auc,0.526674,10,eval_nm_ss_election2020_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_34
election2020,nm_ss_election2020,regression,covid19_twitter,account_age_days,spearman,0.002012013195169369,10,eval_nm_ss_election2020_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_23_49
election2020,nm_ss_election2020,regression,covid19_twitter,followers_count,spearman,-0.020559844830914976,10,eval_nm_ss_election2020_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_23_24
election2020,nm_ss_election2020,regression,covid19_twitter,statuses_count,spearman,0.022751667537097623,10,eval_nm_ss_election2020_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_23_30
election2020,nm_ss_election2020,regression,midterm,account_age_days,spearman,0.005280816502026083,10,eval_nm_ss_election2020_to_midterm_reg_10shot_account_age_days_30_07_2026_02_34_57
election2020,nm_ss_election2020,regression,midterm,followers_count,spearman,-0.09283913182155333,10,eval_nm_ss_election2020_to_midterm_reg_10shot_followers_count_30_07_2026_02_34_57
election2020,nm_ss_election2020,regression,midterm,statuses_count,spearman,-0.004810235699832557,10,eval_nm_ss_election2020_to_midterm_reg_10shot_statuses_count_30_07_2026_02_34_57
election2020,nm_ss_election2020,regression,twibot20,account_age_days,spearman,0.058846562198534895,10,eval_nm_ss_election2020_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_36_18
election2020,nm_ss_election2020,regression,twibot20,followers_count,spearman,-0.10794046631502682,10,eval_nm_ss_election2020_to_twibot20_reg_10shot_followers_count_30_07_2026_02_36_15
election2020,nm_ss_election2020,regression,twibot20,statuses_count,spearman,-0.07428091876078947,10,eval_nm_ss_election2020_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_36_18
election2020,nm_ss_election2020,regression,ukr_rus_twitter,account_age_days,spearman,0.033326846715095344,10,eval_nm_ss_election2020_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_08_44
election2020,nm_ss_election2020,regression,ukr_rus_twitter,followers_count,spearman,-0.02296240842364873,10,eval_nm_ss_election2020_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_08_15
election2020,nm_ss_election2020,regression,ukr_rus_twitter,statuses_count,spearman,-0.0016415441135184568,10,eval_nm_ss_election2020_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_08_20
ukr_rus_suspended,nm_ss_ukr_rus_suspended,classification,covid_political,,roc_auc,0.7319930138888889,10,eval_nm_ss_ukr_rus_suspended_to_covid_political_pl_10shot_30_07_2026_02_37_45
ukr_rus_suspended,nm_ss_ukr_rus_suspended,classification,election2020,,roc_auc,0.8850640000000001,10,eval_nm_ss_ukr_rus_suspended_to_election2020_pl_10shot_30_07_2026_02_38_10
ukr_rus_suspended,nm_ss_ukr_rus_suspended,classification,twibot20,,roc_auc,0.5672257222222221,10,eval_nm_ss_ukr_rus_suspended_to_twibot20_pl_10shot_30_07_2026_02_39_01
ukr_rus_suspended,nm_ss_ukr_rus_suspended,classification,ukr_rus_suspended,,roc_auc,0.465546,10,eval_nm_ss_ukr_rus_suspended_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_34
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,covid19_twitter,account_age_days,spearman,0.031270329012286546,10,eval_nm_ss_ukr_rus_suspended_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_27_01
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,covid19_twitter,followers_count,spearman,0.018359706054482162,10,eval_nm_ss_ukr_rus_suspended_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_24_10
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,covid19_twitter,statuses_count,spearman,0.00022883442892538162,10,eval_nm_ss_ukr_rus_suspended_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_27_01
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,midterm,account_age_days,spearman,0.016733181506057192,10,eval_nm_ss_ukr_rus_suspended_to_midterm_reg_10shot_account_age_days_30_07_2026_02_35_10
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,midterm,followers_count,spearman,-0.07051319286428477,10,eval_nm_ss_ukr_rus_suspended_to_midterm_reg_10shot_followers_count_30_07_2026_02_35_07
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,midterm,statuses_count,spearman,-0.04102184584926169,10,eval_nm_ss_ukr_rus_suspended_to_midterm_reg_10shot_statuses_count_30_07_2026_02_35_10
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,twibot20,account_age_days,spearman,0.0890136075232772,10,eval_nm_ss_ukr_rus_suspended_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_36_32
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,twibot20,followers_count,spearman,0.0418028800801357,10,eval_nm_ss_ukr_rus_suspended_to_twibot20_reg_10shot_followers_count_30_07_2026_02_36_25
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,twibot20,statuses_count,spearman,0.019764833441635786,10,eval_nm_ss_ukr_rus_suspended_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_36_31
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,ukr_rus_twitter,account_age_days,spearman,0.044162547657511576,10,eval_nm_ss_ukr_rus_suspended_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_09_55
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,ukr_rus_twitter,followers_count,spearman,0.017466595913629257,10,eval_nm_ss_ukr_rus_suspended_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_08_46
ukr_rus_suspended,nm_ss_ukr_rus_suspended,regression,ukr_rus_twitter,statuses_count,spearman,-0.000976783488931912,10,eval_nm_ss_ukr_rus_suspended_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_09_53
twibot20,nm_ss_twibot20,classification,covid_political,,roc_auc,0.8895137638888889,10,eval_nm_ss_twibot20_to_covid_political_pl_10shot_30_07_2026_02_37_45
twibot20,nm_ss_twibot20,classification,election2020,,roc_auc,0.979368,10,eval_nm_ss_twibot20_to_election2020_pl_10shot_30_07_2026_02_38_11
twibot20,nm_ss_twibot20,classification,twibot20,,roc_auc,0.6289819166666667,10,eval_nm_ss_twibot20_to_twibot20_pl_10shot_30_07_2026_02_39_02
twibot20,nm_ss_twibot20,classification,ukr_rus_suspended,,roc_auc,0.49479799999999996,10,eval_nm_ss_twibot20_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_37
twibot20,nm_ss_twibot20,regression,covid19_twitter,account_age_days,spearman,0.008039518641438209,10,eval_nm_ss_twibot20_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_30_16
twibot20,nm_ss_twibot20,regression,covid19_twitter,followers_count,spearman,-0.09444430893815277,10,eval_nm_ss_twibot20_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_27_07
twibot20,nm_ss_twibot20,regression,covid19_twitter,statuses_count,spearman,-0.10660237708449212,10,eval_nm_ss_twibot20_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_27_40
twibot20,nm_ss_twibot20,regression,midterm,account_age_days,spearman,0.03397060308611567,10,eval_nm_ss_twibot20_to_midterm_reg_10shot_account_age_days_30_07_2026_02_35_23
twibot20,nm_ss_twibot20,regression,midterm,followers_count,spearman,-0.10098035778867273,10,eval_nm_ss_twibot20_to_midterm_reg_10shot_followers_count_30_07_2026_02_35_12
twibot20,nm_ss_twibot20,regression,midterm,statuses_count,spearman,-0.02953182904904701,10,eval_nm_ss_twibot20_to_midterm_reg_10shot_statuses_count_30_07_2026_02_35_21
twibot20,nm_ss_twibot20,regression,twibot20,account_age_days,spearman,-0.05854746325485953,10,eval_nm_ss_twibot20_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_36_43
twibot20,nm_ss_twibot20,regression,twibot20,followers_count,spearman,-0.22345709255763574,10,eval_nm_ss_twibot20_to_twibot20_reg_10shot_followers_count_30_07_2026_02_36_31
twibot20,nm_ss_twibot20,regression,twibot20,statuses_count,spearman,-0.19368592553154398,10,eval_nm_ss_twibot20_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_36_38
twibot20,nm_ss_twibot20,regression,ukr_rus_twitter,account_age_days,spearman,-0.03256221613622554,10,eval_nm_ss_twibot20_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_11_33
twibot20,nm_ss_twibot20,regression,ukr_rus_twitter,followers_count,spearman,-0.09141010901636445,10,eval_nm_ss_twibot20_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_10_22
twibot20,nm_ss_twibot20,regression,ukr_rus_twitter,statuses_count,spearman,-0.12255800035243257,10,eval_nm_ss_twibot20_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_10_27
cp_hk_twitter,nm_ss_cp_hk_twitter,classification,covid_political,,roc_auc,0.721683125,10,eval_nm_ss_cp_hk_twitter_to_covid_political_pl_10shot_30_07_2026_02_37_45
cp_hk_twitter,nm_ss_cp_hk_twitter,classification,election2020,,roc_auc,0.7989740000000001,10,eval_nm_ss_cp_hk_twitter_to_election2020_pl_10shot_30_07_2026_02_38_11
cp_hk_twitter,nm_ss_cp_hk_twitter,classification,twibot20,,roc_auc,0.5786785138888889,10,eval_nm_ss_cp_hk_twitter_to_twibot20_pl_10shot_30_07_2026_02_39_03
cp_hk_twitter,nm_ss_cp_hk_twitter,classification,ukr_rus_suspended,,roc_auc,0.5045820000000001,10,eval_nm_ss_cp_hk_twitter_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_37
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,covid19_twitter,account_age_days,spearman,-0.15240205189767958,10,eval_nm_ss_cp_hk_twitter_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_31_02
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,covid19_twitter,followers_count,spearman,-0.0029335897486462846,10,eval_nm_ss_cp_hk_twitter_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_30_20
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,covid19_twitter,statuses_count,spearman,0.04959760559555932,10,eval_nm_ss_cp_hk_twitter_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_30_27
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,midterm,account_age_days,spearman,-0.15435799207620074,10,eval_nm_ss_cp_hk_twitter_to_midterm_reg_10shot_account_age_days_30_07_2026_02_35_34
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,midterm,followers_count,spearman,0.016913177906999942,10,eval_nm_ss_cp_hk_twitter_to_midterm_reg_10shot_followers_count_30_07_2026_02_35_24
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,midterm,statuses_count,spearman,0.04314037898799298,10,eval_nm_ss_cp_hk_twitter_to_midterm_reg_10shot_statuses_count_30_07_2026_02_35_25
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,twibot20,account_age_days,spearman,-0.14764541065490855,10,eval_nm_ss_cp_hk_twitter_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_36_52
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,twibot20,followers_count,spearman,-0.1483544344605176,10,eval_nm_ss_cp_hk_twitter_to_twibot20_reg_10shot_followers_count_30_07_2026_02_36_44
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,twibot20,statuses_count,spearman,-0.11473669409437061,10,eval_nm_ss_cp_hk_twitter_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_36_44
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,ukr_rus_twitter,account_age_days,spearman,-0.135968982038796,10,eval_nm_ss_cp_hk_twitter_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_12_13
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,ukr_rus_twitter,followers_count,spearman,-0.0019249877491437852,10,eval_nm_ss_cp_hk_twitter_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_11_34
cp_hk_twitter,nm_ss_cp_hk_twitter,regression,ukr_rus_twitter,statuses_count,spearman,0.03398969998361165,10,eval_nm_ss_cp_hk_twitter_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_12_09
