exposure	seed	target	model_id	accuracy	f1_macro	roc_auc_ovr_macro	episode_plan_fingerprint	observed_episode_fingerprint
node-proportional	2	facebook_page_reference	loo_ukr_proportional_k1_s2	0.271061197917	0.271076657173	0.832474533032	953c6b541994784604b966c0ae43526c6fe27809f5763c152c45738c318924bc	25535a2d58279616f6d483b560a5c5ebbe50381842e60377b09bb6aa5436b280
uniform-over-graphs	0	facebook_page_reference	loo_ukr_uniform_k1_s0	0.301936848958	0.301896907908	0.846700692999	953c6b541994784604b966c0ae43526c6fe27809f5763c152c45738c318924bc	25535a2d58279616f6d483b560a5c5ebbe50381842e60377b09bb6aa5436b280
uniform-over-graphs	1	facebook_page_reference	loo_ukr_uniform_k1_s1	0.292985026042	0.292953169132	0.856322717530	953c6b541994784604b966c0ae43526c6fe27809f5763c152c45738c318924bc	25535a2d58279616f6d483b560a5c5ebbe50381842e60377b09bb6aa5436b280
uniform-over-graphs	2	facebook_page_reference	loo_ukr_uniform_k1_s2	0.292708333333	0.292651643660	0.840849597427	953c6b541994784604b966c0ae43526c6fe27809f5763c152c45738c318924bc	25535a2d58279616f6d483b560a5c5ebbe50381842e60377b09bb6aa5436b280
node-proportional	0	midterm	loo_ukr_proportional_k1_s0	0.213085937500	0.213029972786	0.856902275414	661e8ff3189cc6b18a5657b2877902d0c3438dcc0627d66b15d63ed8fdb95d9a	b8ec4aed98688ec14461a5815b4db7523eef92bb3f25e9c2fb1ebe86ac374a9e
node-proportional	1	midterm	loo_ukr_proportional_k1_s1	0.213720703125	0.213661871349	0.858435114088	661e8ff3189cc6b18a5657b2877902d0c3438dcc0627d66b15d63ed8fdb95d9a	b8ec4aed98688ec14461a5815b4db7523eef92bb3f25e9c2fb1ebe86ac374a9e
node-proportional	2	midterm	loo_ukr_proportional_k1_s2	0.213134765625	0.213169861514	0.854004333348	661e8ff3189cc6b18a5657b2877902d0c3438dcc0627d66b15d63ed8fdb95d9a	b8ec4aed98688ec14461a5815b4db7523eef92bb3f25e9c2fb1ebe86ac374a9e
uniform-over-graphs	0	midterm	loo_ukr_uniform_k1_s0	0.221468098958	0.221340295858	0.859585884933	661e8ff3189cc6b18a5657b2877902d0c3438dcc0627d66b15d63ed8fdb95d9a	b8ec4aed98688ec14461a5815b4db7523eef92bb3f25e9c2fb1ebe86ac374a9e
uniform-over-graphs	1	midterm	loo_ukr_uniform_k1_s1	0.214192708333	0.214158642171	0.842342548124	661e8ff3189cc6b18a5657b2877902d0c3438dcc0627d66b15d63ed8fdb95d9a	b8ec4aed98688ec14461a5815b4db7523eef92bb3f25e9c2fb1ebe86ac374a9e
uniform-over-graphs	2	midterm	loo_ukr_uniform_k1_s2	0.219140625000	0.219059234152	0.857968890256	661e8ff3189cc6b18a5657b2877902d0c3438dcc0627d66b15d63ed8fdb95d9a	b8ec4aed98688ec14461a5815b4db7523eef92bb3f25e9c2fb1ebe86ac374a9e
node-proportional	0	twibot20	loo_ukr_proportional_k1_s0	0.297184244792	0.297240107793	0.901541546844	182005c0dfc361a11854cd27008e6fb2dbda3ea4c86ef76401374ebc382ce8f9	1d6d65fb5b702c0331d7b7f31bb8ad190bf7ffd97b7768d1c0d244f68c699ae0
node-proportional	1	twibot20	loo_ukr_proportional_k1_s1	0.302587890625	0.302572809733	0.903289526907	182005c0dfc361a11854cd27008e6fb2dbda3ea4c86ef76401374ebc382ce8f9	1d6d65fb5b702c0331d7b7f31bb8ad190bf7ffd97b7768d1c0d244f68c699ae0
node-proportional	2	twibot20	loo_ukr_proportional_k1_s2	0.297916666667	0.297751563236	0.901924107404	182005c0dfc361a11854cd27008e6fb2dbda3ea4c86ef76401374ebc382ce8f9	1d6d65fb5b702c0331d7b7f31bb8ad190bf7ffd97b7768d1c0d244f68c699ae0
uniform-over-graphs	0	twibot20	loo_ukr_uniform_k1_s0	0.292073567708	0.291911441912	0.897053398620	182005c0dfc361a11854cd27008e6fb2dbda3ea4c86ef76401374ebc382ce8f9	1d6d65fb5b702c0331d7b7f31bb8ad190bf7ffd97b7768d1c0d244f68c699ae0
uniform-over-graphs	1	twibot20	loo_ukr_uniform_k1_s1	0.286018880208	0.285923923868	0.891921331280	182005c0dfc361a11854cd27008e6fb2dbda3ea4c86ef76401374ebc382ce8f9	1d6d65fb5b702c0331d7b7f31bb8ad190bf7ffd97b7768d1c0d244f68c699ae0
uniform-over-graphs	2	twibot20	loo_ukr_uniform_k1_s2	0.294498697917	0.294394679558	0.900042732283	182005c0dfc361a11854cd27008e6fb2dbda3ea4c86ef76401374ebc382ce8f9	1d6d65fb5b702c0331d7b7f31bb8ad190bf7ffd97b7768d1c0d244f68c699ae0
node-proportional	0	ukr_rus	loo_ukr_proportional_k1_s0	0.358675130208	0.358724534743	0.885134432508	c7161b74e2e7b97ecb2e65e6cea6bffb594aee907cac538849fdbcb8a8d7f49c	3bb76f47d0a9d90b0d8e9f369e97eb4f0eac58f17cb53f519ffca5b7627a5529
node-proportional	1	ukr_rus	loo_ukr_proportional_k1_s1	0.368310546875	0.368266057752	0.887760563006	c7161b74e2e7b97ecb2e65e6cea6bffb594aee907cac538849fdbcb8a8d7f49c	3bb76f47d0a9d90b0d8e9f369e97eb4f0eac58f17cb53f519ffca5b7627a5529
node-proportional	2	ukr_rus	loo_ukr_proportional_k1_s2	0.365380859375	0.365376556230	0.883738636833	c7161b74e2e7b97ecb2e65e6cea6bffb594aee907cac538849fdbcb8a8d7f49c	3bb76f47d0a9d90b0d8e9f369e97eb4f0eac58f17cb53f519ffca5b7627a5529
uniform-over-graphs	0	ukr_rus	loo_ukr_uniform_k1_s0	0.327376302083	0.327364088304	0.872913914850	c7161b74e2e7b97ecb2e65e6cea6bffb594aee907cac538849fdbcb8a8d7f49c	3bb76f47d0a9d90b0d8e9f369e97eb4f0eac58f17cb53f519ffca5b7627a5529
uniform-over-graphs	1	ukr_rus	loo_ukr_uniform_k1_s1	0.334147135417	0.334157218894	0.876217950487	c7161b74e2e7b97ecb2e65e6cea6bffb594aee907cac538849fdbcb8a8d7f49c	3bb76f47d0a9d90b0d8e9f369e97eb4f0eac58f17cb53f519ffca5b7627a5529
uniform-over-graphs	2	ukr_rus	loo_ukr_uniform_k1_s2	0.336881510417	0.336892303736	0.876733765657	c7161b74e2e7b97ecb2e65e6cea6bffb594aee907cac538849fdbcb8a8d7f49c	3bb76f47d0a9d90b0d8e9f369e97eb4f0eac58f17cb53f519ffca5b7627a5529
node-proportional	0	ukr_rus_suspended	loo_ukr_proportional_k1_s0	0.180094401042	0.179963488585	0.825137967488	d33b2f239ca403799d2412c9794195cb6da0c1c882d00856b9c42309c2e0e918	7f8cc9b39c9cd09cd889e3b0107bd390f8ad622d8825be5634eba2533dffaa70
node-proportional	1	ukr_rus_suspended	loo_ukr_proportional_k1_s1	0.183642578125	0.183574058408	0.818434330239	d33b2f239ca403799d2412c9794195cb6da0c1c882d00856b9c42309c2e0e918	7f8cc9b39c9cd09cd889e3b0107bd390f8ad622d8825be5634eba2533dffaa70
node-proportional	2	ukr_rus_suspended	loo_ukr_proportional_k1_s2	0.186767578125	0.186763939403	0.818936004310	d33b2f239ca403799d2412c9794195cb6da0c1c882d00856b9c42309c2e0e918	7f8cc9b39c9cd09cd889e3b0107bd390f8ad622d8825be5634eba2533dffaa70
uniform-over-graphs	0	ukr_rus_suspended	loo_ukr_uniform_k1_s0	0.236149088542	0.236006559787	0.867126045556	d33b2f239ca403799d2412c9794195cb6da0c1c882d00856b9c42309c2e0e918	7f8cc9b39c9cd09cd889e3b0107bd390f8ad622d8825be5634eba2533dffaa70
uniform-over-graphs	1	ukr_rus_suspended	loo_ukr_uniform_k1_s1	0.253320312500	0.253316644221	0.874241468550	d33b2f239ca403799d2412c9794195cb6da0c1c882d00856b9c42309c2e0e918	7f8cc9b39c9cd09cd889e3b0107bd390f8ad622d8825be5634eba2533dffaa70
uniform-over-graphs	2	ukr_rus_suspended	loo_ukr_uniform_k1_s2	0.235384114583	0.235332234817	0.866753755219	d33b2f239ca403799d2412c9794195cb6da0c1c882d00856b9c42309c2e0e918	7f8cc9b39c9cd09cd889e3b0107bd390f8ad622d8825be5634eba2533dffaa70
