arm,seed,checkpoint_step,auc,f1_macro,accuracy,sources,target_split_hash,result_path
election,2,900,0.6921607825855696,0.6421079077947365,0.6531531531531531,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_900.json
election,2,1500,0.6950939367348328,0.6430825974394438,0.6554054054054054,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_1500.json
election,2,2500,0.6949204913514994,0.6475440299342212,0.6593468468468469,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_2500.json
election,2,3500,0.6942703923591527,0.6409409619024107,0.6537162162162162,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_3500.json
mixture_k3,0,100,0.7111684694280027,0.6475087101952773,0.6627252252252253,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_100.json
mixture_k3,0,300,0.709096118292321,0.6498459904407861,0.6655405405405406,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_300.json
mixture_k3,0,600,0.7093119614360249,0.6526819923371647,0.668918918918919,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_600.json
mixture_k3,0,900,0.7066441144842313,0.6587407650386049,0.6751126126126126,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_900.json
mixture_k3,0,1500,0.7022321778444722,0.6496643218230935,0.6677927927927928,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_1500.json
mixture_k3,0,2500,0.7094404394977536,0.654062777481063,0.6683558558558559,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_2500.json
mixture_k3,0,3500,0.700967953717063,0.6513748127899031,0.6655405405405406,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s0_step_3500.json
mixture_k3,1,100,0.6960562374171798,0.6419504395010601,0.6548423423423423,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_100.json
mixture_k3,1,300,0.6965187584394027,0.6480209316614208,0.6627252252252253,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_300.json
mixture_k3,1,600,0.6954286220856358,0.6472756874613059,0.6638513513513513,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_600.json
mixture_k3,1,900,0.6969356697497119,0.6487274990485803,0.6661036036036037,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_900.json
mixture_k3,1,1500,0.6925243755002615,0.6342258004119079,0.6531531531531531,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_1500.json
mixture_k3,1,2500,0.6993028780370608,0.6493389241823779,0.6627252252252253,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_2500.json
mixture_k3,1,3750,0.6971091151330454,0.6458390285453933,0.6599099099099099,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s1_step_3750.json
mixture_k3,2,100,0.6915190346672354,0.6465817876606259,0.6587837837837838,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_100.json
mixture_k3,2,300,0.6935367826266825,0.6596091760508529,0.6739864864864865,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_300.json
mixture_k3,2,600,0.6959881440444637,0.6585979320455517,0.6728603603603603,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_600.json
mixture_k3,2,900,0.6949898695048327,0.6463429317674517,0.661036036036036,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_900.json
