model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
NMCL,twibot20,10,followers_count,regression,test,eval_NMCL_to_twibot20_reg_10shot_followers_count_14_07_2026_11_28_35,-0.3729549320331401,8.329335538046903,7.732110500335693,-6.555464744567871,69.3778305053711
MIX,covid19_twitter,10,account_age_days,regression,test,eval_MIX_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_28_35,0.07518935821119166,7.222926925447974,7.136369705200195,-41.30065155029297,52.17067337036133
NMCL,twibot20,10,statuses_count,regression,test,eval_NMCL_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_28_51,-0.2763357988184781,8.448246194893425,8.08558464050293,-11.483977317810059,71.37286376953125
NMCL,twibot20,10,account_age_days,regression,test,eval_NMCL_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_31_07,-0.15216006520482012,7.757697681756695,7.668428421020508,-45.724735260009766,60.1818733215332
CLFP,twibot20,10,followers_count,regression,test,eval_CLFP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_31_59,-0.032799658211016575,8.25097604237556,7.664813041687012,-6.413975238800049,68.07860565185547
NMFP,twibot20,10,statuses_count,regression,test,eval_NMFP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_31_59,-0.22202579551461177,8.311981873390618,7.946187496185303,-11.084508895874023,69.08904266357422
NMFP,twibot20,10,account_age_days,regression,test,eval_NMFP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_31_59,-0.13446853957382238,7.618618905971333,7.527365684509277,-44.06440353393555,58.04335403442383
NMFP,twibot20,10,followers_count,regression,test,eval_NMFP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_31_59,-0.20601311383946813,8.193674336541621,7.597738742828369,-6.311354637145996,67.13629913330078
CLFP,twibot20,10,statuses_count,regression,test,eval_CLFP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_12,0.12164186247678999,8.36745876296396,8.024564743041992,-11.246358871459961,70.01436614990234
NM,twibot20,10,followers_count,regression,test,eval_NM_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_13,0.14131139583535793,8.317230026133531,7.75342321395874,-6.533519744873047,69.17631530761719
CLFP,twibot20,10,account_age_days,regression,test,eval_CLFP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_13,0.06561563945140227,7.695601993285678,7.60941743850708,-44.97972106933594,59.2222900390625
NM,twibot20,10,statuses_count,regression,test,eval_NM_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_14,0.06259030962196613,8.449133870354977,8.105243682861328,-11.486600875854492,71.38786315917969
CL,twibot20,10,account_age_days,regression,test,eval_CL_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_27,-0.07570683045231326,7.846535237566642,7.753562927246094,-46.80099868774414,61.568115234375
CL,twibot20,10,followers_count,regression,test,eval_CL_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_27,-0.06590134818175727,8.385390483428324,7.81448221206665,-6.657500743865967,70.31477355957031
CL,twibot20,10,statuses_count,regression,test,eval_CL_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_27,-0.058168810679460156,8.52563604851499,8.169377326965332,-11.71374225616455,72.68647003173828
NM,twibot20,10,account_age_days,regression,test,eval_NM_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_27,0.05647124437603649,7.772332040978731,7.68785285949707,-45.90118408203125,60.40914535522461
MIX,twibot20,10,followers_count,regression,test,eval_MIX_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_41,-0.10529991835627972,8.047293109586699,7.443381309509277,-6.0524516105651855,64.75892639160156
FP,twibot20,10,statuses_count,regression,test,eval_FP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_42,0.15155473732822844,8.228838512460927,7.876864433288574,-10.843958854675293,67.71378326416016
FP,twibot20,10,followers_count,regression,test,eval_FP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_42,0.10440084203332334,8.106635834652009,7.5231146812438965,-6.156847953796387,65.71754455566406
FP,twibot20,10,account_age_days,regression,test,eval_FP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_42,0.05774587082405555,7.546795641242951,7.461183071136475,-43.21873474121094,56.954124450683594
MIX,twibot20,10,account_age_days,regression,test,eval_MIX_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_56,-0.03517148886556088,7.464907882949912,7.375756740570068,-42.26433181762695,55.724849700927734
MIX,twibot20,10,statuses_count,regression,test,eval_MIX_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_56,0.02228723148751905,8.151193973633603,7.793371200561523,-10.621502876281738,66.44196319580078
